X,Y,name,eur
996594.4185247723,7041618.74585092,Norway,30056438.48
-360961.99759839446,4468552.961762102,France,72881878.16
751749.1932639853,1020763.2848584227,Nigeria,5425
3926940.701735168,3531595.0582973026,Iraq,1617200
6285370.196666438,3201724.8491035006,Pakistan,303960
1205085.4679680564,6582024.059194769,Sweden,54236428.86
2233998.637431638,5684786.652423435,Belarus,67362.46
2577717.2154853856,5235891.04088153,Ukraine,1107432.42
1559747.5566560181,5545355.686776279,Poland,38674311.66
1172210.048202932,5078511.5103579,Austria,69035954.85
1616505.596759869,5035241.1796316365,Hungary,14924090.53
2373529.402226429,5035535.7967917835,Moldova,1402662
2101421.391998351,4893735.323537887,Romania,55335580.85
1879715.699633505,5866454.940365005,Lithuania,25608570.13
1929220.3281092814,6019615.215318417,Latvia,65879912.15
1973433.4829639564,6202073.56010632,Estonia,15925887.28
836002.961947332,5438949.896340589,Germany,238728545.31
2161139.2171428357,4567699.3403056245,Bulgaria,19378901.27
1986946.95198636,4175111.6148523972,Greece,106690687.82
3071366.2209460204,4175772.3945411243,Turkey,185416.94
1733873.3252768135,4397060.290200492,Albania,5729142.6
1402539.6001837715,4805966.729080012,Croatia,14050455.97
679813.7332383657,4992801.458343667,Switzerland,11876521.02
489922.03397131705,5302606.428014708,Luxembourg,28578070.81
374086.8247006659,5394070.228638094,Belgium,19456618.59
443993.24858070863,5562944.89364235,Netherlands,72368844.48
-702790.7286843321,4235899.641826219,Portugal,86095486.99
-314488.11081194266,4310292.103418607,Spain,141660867.84
-641553.4286582475,5652731.622795409,Ireland,1763634.73
1045780.3878843909,4561502.11492705,Italy,223470941.16
772457.8059617169,5944753.505673839,Denmark,41452211.46
-223719.723504192,5720193.508443629,United Kingdom,1594172.6500000001
-1345741.1805253276,6822297.648636477,Iceland,48215066.51
3743170.685365564,4505338.087693604,Georgia,712678.26
1256082.8735240996,4923122.791492036,Slovenia,7851319.77
1891135.560662653,6753534.675482031,Finland,31257521.49
1613154.9633898512,5194653.751415788,Slovakia,6576562.06
2943705.038667673,3733379.8647307567,Cyprus,1222821.39
2732292.454789012,2832890.6633350775,Egypt,108347
1873251.4398780721,4446650.2451044675,North Macedonia,76360.24
1771470.1808780718,4723491.9091889355,Serbia,1523960.11
1654153.7366311376,4571867.667434432,Montenegro,345697.14
1794322.5522148323,4549724.485674274,Kosovo,330887.68
