DEST,N_RETURNEES,N_FX_STAFF,N_ESC_OBS_MED,N_ESC,N_ESC_LEAD,N_MEDS,N_OBS,N_MONITORS,FX_CONTRIB,FX_CONTRIB_PP
Somalia,12,2,30,25,4,1,0,3,526979.94,43914.994999999995
Turkey,33,2,120,108,9,1,0,2,558606.4,16927.466666666667
Ethiopia,43,2,159,146,8,0,2,3,546348.05,12705.768604651164
Afghanistan,1891,42,4631,3881,106,35,12,74,20599214.19,10893.291480698044
Sri Lanka,49,1,94,34,1,3,0,3,500262.51,10209.438979591838
Gambia,81,3,300,259,9,14,2,8,811689.73,10020.86086419753
Guinea,94,3,243,227,9,2,3,5,904473.41,9622.05755319149
Ghana,231,7,683,665,14,5,0,4,2165381,9373.943722943723
The Gambia,55,0,221,217,4,0,0,0,470485.16000000003,8554.275636363636
Pakistan,2510,51,6856,3210,101,37,9,80,21240746.12,8462.448653386455
Bangladesh,340,4,528,512,14,6,1,6,2336897.53,6873.2280294117645
Iraq,331,4,876,152,7,1,1,4,2061689.56,6228.669365558912
Nigeria,6386,95,16460,3849,118,25,6,144,38909237.294,6092.896538365174
Congo DR,156,3,471,0,0,0,0,17,811644.23,5202.847628205128
Cameroon,30,0,6,5,1,0,0,0,141099.6,4703.320000000001
Senegal,218,3,542,533,8,14,0,11,1003828.58,4604.718256880734
Azerbaijan,183,5,268,252,6,3,0,4,829881.02,4534.868961748634
Lebanon,75,3,90,46,2,2,0,3,340085.8,4534.477333333333
average across all destinations,47337,540,73164,41191,1293,541,392,831,165509210.6748,3496.402616870524
Sudan,40,0,0,0,0,0,0,0,138947,3473.675
Egypt,518,4,1000,956,27,11,3,13,1704580.5,3290.695945945946
Georgia,3793,53,3853,2701,121,20,34,67,10857918.4008,2862.620195307145
Armenia,494,2,712,569,12,10,0,9,1358164.55,2749.320951417004
Russia,857,9,1423,1061,31,26,2,26,2344393.3,2735.5814469078177
Ukraine,337,5,637,475,9,0,3,3,916926.49,2720.850118694362
Vietnam,161,2,179,117,6,0,0,2,379317.7,2356.010559006211
Mauritania,330,0,570,552,9,0,0,9,760880.58,2305.698727272727
Tunisia,7570,14,14538,13702,409,231,0,43,17150385.01,2265.57265653897
Mongolia,168,0,169,0,0,0,0,0,371574.32999999996,2211.751964285714
Albania,9350,141,9108,5834,201,85,303,154,17061697.29,1824.7804588235292
