month,active,blocked,max
01.01.14,0,0,0
01.02.14,0,0,0
01.03.14,0,0,0
01.04.14,0,0,0
01.05.14,0,0,0
01.06.14,0,0,0
01.07.14,0,0,0
01.08.14,0,0,0
01.09.14,0,0,0
01.10.14,0,0,0
01.11.14,0,0,0
01.12.14,0,0,0
01.01.15,0,0,0
01.02.15,0,0,0
01.03.15,0,0,0
01.04.15,0,0,0
01.05.15,2,0,2
01.06.15,4,0,4
01.07.15,4,0,4
01.08.15,4,0,4
01.09.15,4,0,4
01.10.15,3,0,3
01.11.15,2,0,2
01.12.15,1,0,1
01.01.16,1,0,1
01.02.16,2,0,2
01.03.16,3,0,3
01.04.16,4,0,4
01.05.16,5,0,5
01.06.16,6,0,6
01.07.16,8,0,8
01.08.16,8,0,8
01.09.16,8,0,8
01.10.16,9,0,9
01.11.16,8,0,8
01.12.16,3,0,3
01.01.17,2,0,2
01.02.17,2,0,2
01.03.17,7,0,7
01.04.17,8,0,8
01.05.17,9,0,9
01.06.17,9,0,9
01.07.17,9,0,9
01.08.17,5,1,5
01.09.17,6,1,6
01.10.17,5,1,5
01.11.17,6,1,6
01.12.17,5,1,5
01.01.18,4,1,4
01.02.18,4,1,4
01.03.18,2,2,2
01.04.18,4,2,4
01.05.18,4,1,4
01.06.18,2,3,3
01.07.18,2,5,5
01.08.18,2,5,5
01.09.18,1,6,6
01.10.18,3,6,6
01.11.18,2,5,5
01.12.18,3,4,4
01.01.19,2,5,5
01.02.19,0,6,6
01.03.19,1,6,6
01.04.19,2,7,7
01.05.19,1,7,7
01.06.19,3,5,5
01.07.19,3,5,5
01.08.19,5,5,5
01.09.19,3,6,6
01.10.19,5,5,5
01.11.19,4,5,5
01.12.19,4,5,5
